run_id,example_id,method,metric,value,slice_name,slice_value,metadata,source,model
task2_plausibility,071d5037c44a2142,integrated_gradients,precision_at_k,0.3333333333333333,target,Illocutionary Change,"{'n_gold_tokens': 27, 'k': 27}",plausibility_mbert,mbert
task2_plausibility,071d5037c44a2142,integrated_gradients,recall_at_k,0.3333333333333333,target,Illocutionary Change,"{'n_gold_tokens': 27, 'k': 27}",plausibility_mbert,mbert
task2_plausibility,071d5037c44a2142,integrated_gradients,f1_at_k,0.3333333333333333,target,Illocutionary Change,"{'n_gold_tokens': 27, 'k': 27}",plausibility_mbert,mbert
task2_plausibility,071d5037c44a2142,integrated_gradients,auprc,0.389873429336942,target,Illocutionary Change,"{'n_gold_tokens': 27, 'k': 27}",plausibility_mbert,mbert
task2_plausibility,13934b46dc51117d,integrated_gradients,precision_at_k,0.34375,target,Illocutionary Change,"{'n_gold_tokens': 32, 'k': 32}",plausibility_mbert,mbert
task2_plausibility,13934b46dc51117d,integrated_gradients,recall_at_k,0.34375,target,Illocutionary Change,"{'n_gold_tokens': 32, 'k': 32}",plausibility_mbert,mbert
task2_plausibility,13934b46dc51117d,integrated_gradients,f1_at_k,0.34375,target,Illocutionary Change,"{'n_gold_tokens': 32, 'k': 32}",plausibility_mbert,mbert
task2_plausibility,13934b46dc51117d,integrated_gradients,auprc,0.3646890599524366,target,Illocutionary Change,"{'n_gold_tokens': 32, 'k': 32}",plausibility_mbert,mbert
task2_plausibility,15617fbe9b414a10,integrated_gradients,precision_at_k,0.2439024390243902,target,Illocutionary Change,"{'n_gold_tokens': 41, 'k': 41}",plausibility_mbert,mbert
task2_plausibility,15617fbe9b414a10,integrated_gradients,recall_at_k,0.2439024390243902,target,Illocutionary Change,"{'n_gold_tokens': 41, 'k': 41}",plausibility_mbert,mbert
task2_plausibility,15617fbe9b414a10,integrated_gradients,f1_at_k,0.2439024390243902,target,Illocutionary Change,"{'n_gold_tokens': 41, 'k': 41}",plausibility_mbert,mbert
task2_plausibility,15617fbe9b414a10,integrated_gradients,auprc,0.2736083224197726,target,Illocutionary Change,"{'n_gold_tokens': 41, 'k': 41}",plausibility_mbert,mbert
task2_plausibility,15f60dfdd12c9dd7,integrated_gradients,precision_at_k,0.1363636363636363,target,Illocutionary Change,"{'n_gold_tokens': 22, 'k': 22}",plausibility_mbert,mbert
task2_plausibility,15f60dfdd12c9dd7,integrated_gradients,recall_at_k,0.1363636363636363,target,Illocutionary Change,"{'n_gold_tokens': 22, 'k': 22}",plausibility_mbert,mbert
task2_plausibility,15f60dfdd12c9dd7,integrated_gradients,f1_at_k,0.1363636363636363,target,Illocutionary Change,"{'n_gold_tokens': 22, 'k': 22}",plausibility_mbert,mbert
task2_plausibility,15f60dfdd12c9dd7,integrated_gradients,auprc,0.1785910673966532,target,Illocutionary Change,"{'n_gold_tokens': 22, 'k': 22}",plausibility_mbert,mbert
task2_plausibility,1d1b04eb3e7ce11a,integrated_gradients,precision_at_k,0.375,target,Illocutionary Change,"{'n_gold_tokens': 40, 'k': 40}",plausibility_mbert,mbert
task2_plausibility,1d1b04eb3e7ce11a,integrated_gradients,recall_at_k,0.375,target,Illocutionary Change,"{'n_gold_tokens': 40, 'k': 40}",plausibility_mbert,mbert
task2_plausibility,1d1b04eb3e7ce11a,integrated_gradients,f1_at_k,0.375,target,Illocutionary Change,"{'n_gold_tokens': 40, 'k': 40}",plausibility_mbert,mbert
task2_plausibility,1d1b04eb3e7ce11a,integrated_gradients,auprc,0.3913760273315726,target,Illocutionary Change,"{'n_gold_tokens': 40, 'k': 40}",plausibility_mbert,mbert
