run_id,example_id,method,metric,value,slice_name,slice_value,model
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,precision_at_k,0.058823529411764705,target,Synonymy,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,recall_at_k,0.058823529411764705,target,Synonymy,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,f1_at_k,0.058823529411764705,target,Synonymy,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,auprc,0.05049793553129451,target,Synonymy,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,precision_at_k,0.058823529411764705,target,Compression,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,recall_at_k,0.058823529411764705,target,Compression,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,f1_at_k,0.058823529411764705,target,Compression,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,auprc,0.06727604806805415,target,Compression,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,precision_at_k,0.0,target,Omission,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,recall_at_k,0.0,target,Omission,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,f1_at_k,0.0,target,Omission,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,auprc,0.07176823666102403,target,Omission,qwen
task2_qwen_plausibility,d3145f304c3469e2,integrated_gradients_qwen,precision_at_k,0.2222222222222222,target,Compression,qwen
task2_qwen_plausibility,d3145f304c3469e2,integrated_gradients_qwen,recall_at_k,0.2222222222222222,target,Compression,qwen
task2_qwen_plausibility,d3145f304c3469e2,integrated_gradients_qwen,f1_at_k,0.2222222222222222,target,Compression,qwen
task2_qwen_plausibility,d3145f304c3469e2,integrated_gradients_qwen,auprc,0.17992895796794778,target,Compression,qwen
task2_qwen_plausibility,d3145f304c3469e2,integrated_gradients_qwen,precision_at_k,0.13333333333333333,target,Omission,qwen
task2_qwen_plausibility,d3145f304c3469e2,integrated_gradients_qwen,recall_at_k,0.13333333333333333,target,Omission,qwen
task2_qwen_plausibility,d3145f304c3469e2,integrated_gradients_qwen,f1_at_k,0.13333333333333333,target,Omission,qwen
task2_qwen_plausibility,d3145f304c3469e2,integrated_gradients_qwen,auprc,0.10042990002634335,target,Omission,qwen
task2_qwen_plausibility,27232ed14f973bec,integrated_gradients_qwen,precision_at_k,0.043478260869565216,target,Synonymy,qwen
task2_qwen_plausibility,27232ed14f973bec,integrated_gradients_qwen,recall_at_k,0.043478260869565216,target,Synonymy,qwen
task2_qwen_plausibility,27232ed14f973bec,integrated_gradients_qwen,f1_at_k,0.043478260869565216,target,Synonymy,qwen
task2_qwen_plausibility,27232ed14f973bec,integrated_gradients_qwen,auprc,0.0627551133188495,target,Synonymy,qwen
task2_qwen_plausibility,27232ed14f973bec,integrated_gradients_qwen,precision_at_k,0.17391304347826086,target,Compression,qwen
task2_qwen_plausibility,27232ed14f973bec,integrated_gradients_qwen,recall_at_k,0.17391304347826086,target,Compression,qwen
task2_qwen_plausibility,27232ed14f973bec,integrated_gradients_qwen,f1_at_k,0.17391304347826086,target,Compression,qwen
task2_qwen_plausibility,27232ed14f973bec,integrated_gradients_qwen,auprc,0.13336123918778686,target,Compression,qwen
task2_qwen_plausibility,27232ed14f973bec,integrated_gradients_qwen,precision_at_k,0.043478260869565216,target,Omission,qwen
task2_qwen_plausibility,27232ed14f973bec,integrated_gradients_qwen,recall_at_k,0.043478260869565216,target,Omission,qwen
task2_qwen_plausibility,27232ed14f973bec,integrated_gradients_qwen,f1_at_k,0.043478260869565216,target,Omission,qwen
task2_qwen_plausibility,27232ed14f973bec,integrated_gradients_qwen,auprc,0.06569282603688126,target,Omission,qwen
task2_qwen_plausibility,0498438bbf75499b,integrated_gradients_qwen,precision_at_k,0.13333333333333333,target,Synonymy,qwen
task2_qwen_plausibility,0498438bbf75499b,integrated_gradients_qwen,recall_at_k,0.13333333333333333,target,Synonymy,qwen
task2_qwen_plausibility,0498438bbf75499b,integrated_gradients_qwen,f1_at_k,0.13333333333333333,target,Synonymy,qwen
task2_qwen_plausibility,0498438bbf75499b,integrated_gradients_qwen,auprc,0.0941566891603284,target,Synonymy,qwen
task2_qwen_plausibility,0498438bbf75499b,integrated_gradients_qwen,precision_at_k,0.06666666666666667,target,Compression,qwen
task2_qwen_plausibility,0498438bbf75499b,integrated_gradients_qwen,recall_at_k,0.06666666666666667,target,Compression,qwen
task2_qwen_plausibility,0498438bbf75499b,integrated_gradients_qwen,f1_at_k,0.06666666666666667,target,Compression,qwen
