run_id,example_id,method,metric,value,slice_name,slice_value,model
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,precision_at_k,0.0,target,Synonymy,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,recall_at_k,0.0,target,Synonymy,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,f1_at_k,0.0,target,Synonymy,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,auprc,0.04894944751934677,target,Synonymy,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,precision_at_k,0.0,target,Compression,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,recall_at_k,0.0,target,Compression,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,f1_at_k,0.0,target,Compression,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,auprc,0.07029423903787413,target,Compression,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,precision_at_k,0.0,target,Omission,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,recall_at_k,0.0,target,Omission,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,f1_at_k,0.0,target,Omission,qwen
task2_qwen_plausibility,4714cc6651769334,integrated_gradients_qwen,auprc,0.08809528415228858,target,Omission,qwen
task2_qwen_plausibility,d3145f304c3469e2,integrated_gradients_qwen,precision_at_k,0.17777777777777778,target,Compression,qwen
task2_qwen_plausibility,d3145f304c3469e2,integrated_gradients_qwen,recall_at_k,0.17777777777777778,target,Compression,qwen
task2_qwen_plausibility,d3145f304c3469e2,integrated_gradients_qwen,f1_at_k,0.17777777777777778,target,Compression,qwen
task2_qwen_plausibility,d3145f304c3469e2,integrated_gradients_qwen,auprc,0.17628148217443232,target,Compression,qwen
task2_qwen_plausibility,d3145f304c3469e2,integrated_gradients_qwen,precision_at_k,0.1111111111111111,target,Omission,qwen
