run_id,example_id,method,metric,value,slice_name,slice_value,metadata
task2_plausibility,4714cc6651769334,integrated_gradients,precision_at_k,0.3,target,Compression,"{'n_gold_tokens': 20, 'k': 20}"
task2_plausibility,4714cc6651769334,integrated_gradients,recall_at_k,0.3,target,Compression,"{'n_gold_tokens': 20, 'k': 20}"
task2_plausibility,4714cc6651769334,integrated_gradients,f1_at_k,0.3,target,Compression,"{'n_gold_tokens': 20, 'k': 20}"
task2_plausibility,4714cc6651769334,integrated_gradients,auprc,0.26330284613104543,target,Compression,"{'n_gold_tokens': 20, 'k': 20}"
task2_plausibility,4714cc6651769334,integrated_gradients,precision_at_k,0.15,target,Omission,"{'n_gold_tokens': 20, 'k': 20}"
task2_plausibility,4714cc6651769334,integrated_gradients,recall_at_k,0.15,target,Omission,"{'n_gold_tokens': 20, 'k': 20}"
task2_plausibility,4714cc6651769334,integrated_gradients,f1_at_k,0.15,target,Omission,"{'n_gold_tokens': 20, 'k': 20}"
task2_plausibility,4714cc6651769334,integrated_gradients,auprc,0.20600253801998356,target,Omission,"{'n_gold_tokens': 20, 'k': 20}"
task2_plausibility,4714cc6651769334,integrated_gradients,precision_at_k,0.15,target,Synonymy,"{'n_gold_tokens': 20, 'k': 20}"
task2_plausibility,4714cc6651769334,integrated_gradients,recall_at_k,0.15,target,Synonymy,"{'n_gold_tokens': 20, 'k': 20}"
task2_plausibility,4714cc6651769334,integrated_gradients,f1_at_k,0.15,target,Synonymy,"{'n_gold_tokens': 20, 'k': 20}"
task2_plausibility,4714cc6651769334,integrated_gradients,auprc,0.2642501367891536,target,Synonymy,"{'n_gold_tokens': 20, 'k': 20}"
task2_plausibility,d3145f304c3469e2,integrated_gradients,precision_at_k,0.17307692307692307,target,Compression,"{'n_gold_tokens': 52, 'k': 52}"
task2_plausibility,d3145f304c3469e2,integrated_gradients,recall_at_k,0.17307692307692307,target,Compression,"{'n_gold_tokens': 52, 'k': 52}"
task2_plausibility,d3145f304c3469e2,integrated_gradients,f1_at_k,0.17307692307692307,target,Compression,"{'n_gold_tokens': 52, 'k': 52}"
task2_plausibility,d3145f304c3469e2,integrated_gradients,auprc,0.25420109820448783,target,Compression,"{'n_gold_tokens': 52, 'k': 52}"
task2_plausibility,d3145f304c3469e2,integrated_gradients,precision_at_k,0.25,target,Omission,"{'n_gold_tokens': 52, 'k': 52}"
task2_plausibility,d3145f304c3469e2,integrated_gradients,recall_at_k,0.25,target,Omission,"{'n_gold_tokens': 52, 'k': 52}"
task2_plausibility,d3145f304c3469e2,integrated_gradients,f1_at_k,0.25,target,Omission,"{'n_gold_tokens': 52, 'k': 52}"
task2_plausibility,d3145f304c3469e2,integrated_gradients,auprc,0.2605132647388186,target,Omission,"{'n_gold_tokens': 52, 'k': 52}"
task2_plausibility,27232ed14f973bec,integrated_gradients,precision_at_k,0.05714285714285714,target,Compression,"{'n_gold_tokens': 35, 'k': 35}"
task2_plausibility,27232ed14f973bec,integrated_gradients,recall_at_k,0.05714285714285714,target,Compression,"{'n_gold_tokens': 35, 'k': 35}"
task2_plausibility,27232ed14f973bec,integrated_gradients,f1_at_k,0.05714285714285714,target,Compression,"{'n_gold_tokens': 35, 'k': 35}"
task2_plausibility,27232ed14f973bec,integrated_gradients,auprc,0.12131772922033901,target,Compression,"{'n_gold_tokens': 35, 'k': 35}"
