sentence_alignment_id,language_code,language_name,corpus_source,document_id,line_in_document,source_text,target_text,macro_strategies,micro_strategies,strategy_record_id,strategy_annotation_status,automatic_macro_candidates,requires_manual_strategy_review,label_scope,label_explanation,label_modulation,label_synonymy,label_transposition,label_transcription,label_syntactic_change,label_illocutionary_change,label_compression,label_omission,source_token_index,source_token,target_token_index,target_token,alignment_status,alignment_cardinality,source_alignment_degree,target_alignment_degree,token_edit_relation,candidate_operation,source_is_punctuation,target_is_punctuation,indices_are_zero_based
FR_ALIGN_0001,fr,French,French tagged simplification corpus,0,1,"dans différents lieux sur notre territoire, au plus proche du public",dans plusieurs villes à côté de chez vous,Synonymy,,FR_001,provided_strategy_annotation,,0,sentence-level,0,0,1,0,0,0,0,0,0,,,6,chez,target_only,unaligned,,0,target_unaligned,addition_or_explanation_candidate,,0,1
FR_ALIGN_0001,fr,French,French tagged simplification corpus,0,1,"dans différents lieux sur notre territoire, au plus proche du public",dans plusieurs villes à côté de chez vous,Synonymy,,FR_001,provided_strategy_annotation,,0,sentence-level,0,0,1,0,0,0,0,0,0,0,dans,0,dans,aligned,one_to_one,1,1,retained_exact,retention,0,0,1
FR_ALIGN_0001,fr,French,French tagged simplification corpus,0,1,"dans différents lieux sur notre territoire, au plus proche du public",dans plusieurs villes à côté de chez vous,Synonymy,,FR_001,provided_strategy_annotation,,0,sentence-level,0,0,1,0,0,0,0,0,0,1,différents,1,plusieurs,aligned,one_to_one,1,1,aligned_change_candidate,substitution_or_rephrasing,0,0,1
FR_ALIGN_0001,fr,French,French tagged simplification corpus,0,1,"dans différents lieux sur notre territoire, au plus proche du public",dans plusieurs villes à côté de chez vous,Synonymy,,FR_001,provided_strategy_annotation,,0,sentence-level,0,0,1,0,0,0,0,0,0,2,lieux,2,villes,aligned,one_to_one,1,1,aligned_change_candidate,substitution_or_rephrasing,0,0,1
FR_ALIGN_0001,fr,French,French tagged simplification corpus,0,1,"dans différents lieux sur notre territoire, au plus proche du public",dans plusieurs villes à côté de chez vous,Synonymy,,FR_001,provided_strategy_annotation,,0,sentence-level,0,0,1,0,0,0,0,0,0,3,sur,,,source_only,unaligned,0,,source_unaligned,deletion_or_omission_candidate,0,,1
FR_ALIGN_0001,fr,French,French tagged simplification corpus,0,1,"dans différents lieux sur notre territoire, au plus proche du public",dans plusieurs villes à côté de chez vous,Synonymy,,FR_001,provided_strategy_annotation,,0,sentence-level,0,0,1,0,0,0,0,0,0,4,notre,,,source_only,unaligned,0,,source_unaligned,deletion_or_omission_candidate,0,,1
FR_ALIGN_0001,fr,French,French tagged simplification corpus,0,1,"dans différents lieux sur notre territoire, au plus proche du public",dans plusieurs villes à côté de chez vous,Synonymy,,FR_001,provided_strategy_annotation,,0,sentence-level,0,0,1,0,0,0,0,0,0,5,territoire,,,source_only,unaligned,0,,source_unaligned,deletion_or_omission_candidate,0,,1
FR_ALIGN_0001,fr,French,French tagged simplification corpus,0,1,"dans différents lieux sur notre territoire, au plus proche du public",dans plusieurs villes à côté de chez vous,Synonymy,,FR_001,provided_strategy_annotation,,0,sentence-level,0,0,1,0,0,0,0,0,0,6,",",7,vous,aligned,one_to_one,1,1,aligned_change_candidate,substitution_or_rephrasing,1,0,1
FR_ALIGN_0001,fr,French,French tagged simplification corpus,0,1,"dans différents lieux sur notre territoire, au plus proche du public",dans plusieurs villes à côté de chez vous,Synonymy,,FR_001,provided_strategy_annotation,,0,sentence-level,0,0,1,0,0,0,0,0,0,7,au,3,à,aligned,one_to_one,1,1,aligned_change_candidate,substitution_or_rephrasing,0,0,1
FR_ALIGN_0001,fr,French,French tagged simplification corpus,0,1,"dans différents lieux sur notre territoire, au plus proche du public",dans plusieurs villes à côté de chez vous,Synonymy,,FR_001,provided_strategy_annotation,,0,sentence-level,0,0,1,0,0,0,0,0,0,8,plus,,,source_only,unaligned,0,,source_unaligned,deletion_or_omission_candidate,0,,1
