pair_id,side,operation,span_text,span_length,start_index,end_index,normalised_midpoint,location,is_multi_token,language,collection,document_id,split
001526393a0ae50eaf2a,complex,DELETE,cette,1,6.0,6.0,0.08823529411764706,beginning,False,fr,fr,242,train
001526393a0ae50eaf2a,complex,DELETE,Sur les,2,10.0,11.0,0.15441176470588236,beginning,True,fr,fr,242,train
001526393a0ae50eaf2a,complex,DELETE,Marc Philippe,2,14.0,15.0,0.21323529411764705,beginning,True,fr,fr,242,train
001526393a0ae50eaf2a,complex,DELETE,!,1,24.0,24.0,0.35294117647058826,middle,False,fr,fr,242,train
001526393a0ae50eaf2a,complex,DELETE,sommes situés,2,26.0,27.0,0.3897058823529412,middle,True,fr,fr,242,train
001526393a0ae50eaf2a,complex,DELETE,centre de la place Margaret Masse,6,29.0,34.0,0.4632352941176471,middle,True,fr,fr,242,train
001526393a0ae50eaf2a,complex,DELETE,Coulon ; l',3,36.0,38.0,0.5441176470588235,middle,True,fr,fr,242,train
001526393a0ae50eaf2a,complex,DELETE,se situe derrière le bâtiment au centre de la place,10,40.0,49.0,0.6544117647058824,middle,True,fr,fr,242,train
001526393a0ae50eaf2a,complex,DELETE,en nous contactant :,4,53.0,56.0,0.8014705882352942,end,True,fr,fr,242,train
001526393a0ae50eaf2a,complex,DELETE,Antoinette Lucas,2,60.0,61.0,0.8897058823529411,end,True,fr,fr,242,train
001a7e559eefa54f3bb9,complex,DELETE,على أسنانها تقول,3,4.0,6.0,0.1724137931034483,beginning,True,ar,ar,AR_323,train
001a7e559eefa54f3bb9,complex,DELETE,عنقك,1,24.0,24.0,0.8275862068965517,end,False,ar,ar,AR_323,train
001a7e559eefa54f3bb9,complex,DELETE,ازدردت ريقي بصعوبة,3,26.0,28.0,0.9310344827586207,end,True,ar,ar,AR_323,train
008cf9a5c0c5aeb4e198,complex,DELETE,a persones,2,2.0,3.0,0.1,beginning,True,ca,ca,CAT_085_089,test
008cf9a5c0c5aeb4e198,complex,DELETE,a,1,18.0,18.0,0.72,end,False,ca,ca,CAT_085_089,test
008cf9a5c0c5aeb4e198,complex,DELETE,prestació,1,20.0,20.0,0.8,end,False,ca,ca,CAT_085_089,test
